label,line,construct,treatment,id,ari_freq
-13.86000061,#8-7_1uM_TA,#8-7,1uM_TA,1,0
-13.57999992,#8-7_1uM_TA,#8-7,1uM_TA,1,0
-13.29999924,#8-7_1uM_TA,#8-7,1uM_TA,1,0
-13.02000046,#8-7_1uM_TA,#8-7,1uM_TA,1,0
-12.73999977,#8-7_1uM_TA,#8-7,1uM_TA,1,0
-12.46000004,#8-7_1uM_TA,#8-7,1uM_TA,1,0
-12.18000031,#8-7_1uM_TA,#8-7,1uM_TA,1,0
-11.89999962,#8-7_1uM_TA,#8-7,1uM_TA,1,0
-11.61999989,#8-7_1uM_TA,#8-7,1uM_TA,1,0
-11.34000015,#8-7_1uM_TA,#8-7,1uM_TA,1,0
-11.05999947,#8-7_1uM_TA,#8-7,1uM_TA,1,0.005219479
-10.78000069,#8-7_1uM_TA,#8-7,1uM_TA,1,0.005219479
-10.5,#8-7_1uM_TA,#8-7,1uM_TA,1,0
-10.21999931,#8-7_1uM_TA,#8-7,1uM_TA,1,0.005219479
-9.940000534,#8-7_1uM_TA,#8-7,1uM_TA,1,0.010438958
-9.659999847,#8-7_1uM_TA,#8-7,1uM_TA,1,0.015658437
-9.380000114,#8-7_1uM_TA,#8-7,1uM_TA,1,0.020877916
-9.100000381,#8-7_1uM_TA,#8-7,1uM_TA,1,0.041755833
-8.819999695,#8-7_1uM_TA,#8-7,1uM_TA,1,0.020877916
-8.539999962,#8-7_1uM_TA,#8-7,1uM_TA,1,0.093950624
-8.260000229,#8-7_1uM_TA,#8-7,1uM_TA,1,0.093950624
-7.980000019,#8-7_1uM_TA,#8-7,1uM_TA,1,0.067853228
-7.699999809,#8-7_1uM_TA,#8-7,1uM_TA,1,0.135706456
-7.420000076,#8-7_1uM_TA,#8-7,1uM_TA,1,0.140925936
-7.140000343,#8-7_1uM_TA,#8-7,1uM_TA,1,0.255754476
-6.859999657,#8-7_1uM_TA,#8-7,1uM_TA,1,0.219218122
-6.579999924,#8-7_1uM_TA,#8-7,1uM_TA,1,0.307949267
-6.300000191,#8-7_1uM_TA,#8-7,1uM_TA,1,0.339266141
-6.019999981,#8-7_1uM_TA,#8-7,1uM_TA,1,0.386241453
-5.739999771,#8-7_1uM_TA,#8-7,1uM_TA,1,0.34448562
-5.460000038,#8-7_1uM_TA,#8-7,1uM_TA,1,0.527167389
-5.180000305,#8-7_1uM_TA,#8-7,1uM_TA,1,0.57936218
-4.900000095,#8-7_1uM_TA,#8-7,1uM_TA,1,0.63677645
-4.619999886,#8-7_1uM_TA,#8-7,1uM_TA,1,0.69419072
-4.340000153,#8-7_1uM_TA,#8-7,1uM_TA,1,0.850775093
-4.059999943,#8-7_1uM_TA,#8-7,1uM_TA,1,0.855994572
-3.78000021,#8-7_1uM_TA,#8-7,1uM_TA,1,0.929067279
-3.5,#8-7_1uM_TA,#8-7,1uM_TA,1,1.007359466
-3.21999979,#8-7_1uM_TA,#8-7,1uM_TA,1,1.111749047
