label,line,construct,treatment,id,ari_freq
-13.86000061,#8-7_1uM_DEX,#8-7,1uM_DEX,1,0
-13.57999992,#8-7_1uM_DEX,#8-7,1uM_DEX,1,0.006110975
-13.29999924,#8-7_1uM_DEX,#8-7,1uM_DEX,1,0
-13.02000046,#8-7_1uM_DEX,#8-7,1uM_DEX,1,0.003055488
-12.73999977,#8-7_1uM_DEX,#8-7,1uM_DEX,1,0
-12.46000004,#8-7_1uM_DEX,#8-7,1uM_DEX,1,0.006110975
-12.18000031,#8-7_1uM_DEX,#8-7,1uM_DEX,1,0.006110975
-11.89999962,#8-7_1uM_DEX,#8-7,1uM_DEX,1,0
-11.61999989,#8-7_1uM_DEX,#8-7,1uM_DEX,1,0.012221951
-11.34000015,#8-7_1uM_DEX,#8-7,1uM_DEX,1,0.012221951
-11.05999947,#8-7_1uM_DEX,#8-7,1uM_DEX,1,0.024443901
-10.78000069,#8-7_1uM_DEX,#8-7,1uM_DEX,1,0.030554877
-10.5,#8-7_1uM_DEX,#8-7,1uM_DEX,1,0.054998778
-10.21999931,#8-7_1uM_DEX,#8-7,1uM_DEX,1,0.09166463
-9.940000534,#8-7_1uM_DEX,#8-7,1uM_DEX,1,0.152774383
-9.659999847,#8-7_1uM_DEX,#8-7,1uM_DEX,1,0.168051821
-9.380000114,#8-7_1uM_DEX,#8-7,1uM_DEX,1,0.259716451
-9.100000381,#8-7_1uM_DEX,#8-7,1uM_DEX,1,0.400268883
-8.819999695,#8-7_1uM_DEX,#8-7,1uM_DEX,1,0.494989
-8.539999962,#8-7_1uM_DEX,#8-7,1uM_DEX,1,0.666096309
-8.260000229,#8-7_1uM_DEX,#8-7,1uM_DEX,1,0.831092642
-7.980000019,#8-7_1uM_DEX,#8-7,1uM_DEX,1,0.916646297
-7.699999809,#8-7_1uM_DEX,#8-7,1uM_DEX,1,1.051087754
-7.420000076,#8-7_1uM_DEX,#8-7,1uM_DEX,1,1.246638964
-7.140000343,#8-7_1uM_DEX,#8-7,1uM_DEX,1,1.26497189
-6.859999657,#8-7_1uM_DEX,#8-7,1uM_DEX,1,1.478856025
-6.579999924,#8-7_1uM_DEX,#8-7,1uM_DEX,1,1.582742606
-6.300000191,#8-7_1uM_DEX,#8-7,1uM_DEX,1,1.701906624
-6.019999981,#8-7_1uM_DEX,#8-7,1uM_DEX,1,1.793571254
-5.739999771,#8-7_1uM_DEX,#8-7,1uM_DEX,1,1.839403569
-5.460000038,#8-7_1uM_DEX,#8-7,1uM_DEX,1,2.086898069
-5.180000305,#8-7_1uM_DEX,#8-7,1uM_DEX,1,1.894402347
