label,line,construct,treatment,id,ari_freq
-13.86000061,#8-7_1uM_DSP,#8-7,1uM_DSP,1,0
-13.57999992,#8-7_1uM_DSP,#8-7,1uM_DSP,1,0
-13.29999924,#8-7_1uM_DSP,#8-7,1uM_DSP,1,0
-13.02000046,#8-7_1uM_DSP,#8-7,1uM_DSP,1,0
-12.73999977,#8-7_1uM_DSP,#8-7,1uM_DSP,1,0
-12.46000004,#8-7_1uM_DSP,#8-7,1uM_DSP,1,0
-12.18000031,#8-7_1uM_DSP,#8-7,1uM_DSP,1,0
-11.89999962,#8-7_1uM_DSP,#8-7,1uM_DSP,1,0.006133088
-11.61999989,#8-7_1uM_DSP,#8-7,1uM_DSP,1,0
-11.34000015,#8-7_1uM_DSP,#8-7,1uM_DSP,1,0
-11.05999947,#8-7_1uM_DSP,#8-7,1uM_DSP,1,0
-10.78000069,#8-7_1uM_DSP,#8-7,1uM_DSP,1,0.018399264
-10.5,#8-7_1uM_DSP,#8-7,1uM_DSP,1,0.012266176
-10.21999931,#8-7_1uM_DSP,#8-7,1uM_DSP,1,0.024532352
-9.940000534,#8-7_1uM_DSP,#8-7,1uM_DSP,1,0.024532352
-9.659999847,#8-7_1uM_DSP,#8-7,1uM_DSP,1,0.079730144
-9.380000114,#8-7_1uM_DSP,#8-7,1uM_DSP,1,0.12266176
-9.100000381,#8-7_1uM_DSP,#8-7,1uM_DSP,1,0.098129408
-8.819999695,#8-7_1uM_DSP,#8-7,1uM_DSP,1,0.171726464
-8.539999962,#8-7_1uM_DSP,#8-7,1uM_DSP,1,0.21465808
-8.260000229,#8-7_1uM_DSP,#8-7,1uM_DSP,1,0.423183073
-7.980000019,#8-7_1uM_DSP,#8-7,1uM_DSP,1,0.441582337
-7.699999809,#8-7_1uM_DSP,#8-7,1uM_DSP,1,0.582643361
-7.420000076,#8-7_1uM_DSP,#8-7,1uM_DSP,1,0.502913217
-7.140000343,#8-7_1uM_DSP,#8-7,1uM_DSP,1,0.760502913
-6.859999657,#8-7_1uM_DSP,#8-7,1uM_DSP,1,0.846366145
-6.579999924,#8-7_1uM_DSP,#8-7,1uM_DSP,1,0.785035265
-6.300000191,#8-7_1uM_DSP,#8-7,1uM_DSP,1,0.950628642
-6.019999981,#8-7_1uM_DSP,#8-7,1uM_DSP,1,1.146887458
-5.739999771,#8-7_1uM_DSP,#8-7,1uM_DSP,1,1.220484514
-5.460000038,#8-7_1uM_DSP,#8-7,1uM_DSP,1,1.306347746
-5.180000305,#8-7_1uM_DSP,#8-7,1uM_DSP,1,1.490340386
-4.900000095,#8-7_1uM_DSP,#8-7,1uM_DSP,1,1.502606562
-4.619999886,#8-7_1uM_DSP,#8-7,1uM_DSP,1,1.625268323
-4.340000153,#8-7_1uM_DSP,#8-7,1uM_DSP,1,1.563937443
-4.059999943,#8-7_1uM_DSP,#8-7,1uM_DSP,1,1.968721251
-3.78000021,#8-7_1uM_DSP,#8-7,1uM_DSP,1,1.852192579
-3.5,#8-7_1uM_DSP,#8-7,1uM_DSP,1,2.054584483
-3.21999979,#8-7_1uM_DSP,#8-7,1uM_DSP,1,2.115915363
-2.940000057,#8-7_1uM_DSP,#8-7,1uM_DSP,1,2.545231524
-2.659999847,#8-7_1uM_DSP,#8-7,1uM_DSP,1,2.968414597
-2.380000114,#8-7_1uM_DSP,#8-7,1uM_DSP,1,3.624655014
-2.099999905,#8-7_1uM_DSP,#8-7,1uM_DSP,1,4.544618215
-1.819999933,#8-7_1uM_DSP,#8-7,1uM_DSP,1,5.574977001
-1.539999962,#8-7_1uM_DSP,#8-7,1uM_DSP,1,6.022692426
-1.25999999,#8-7_1uM_DSP,#8-7,1uM_DSP,1,6.120821834
-0.980000019,#8-7_1uM_DSP,#8-7,1uM_DSP,1,6.372278442
-0.699999988,#8-7_1uM_DSP,#8-7,1uM_DSP,1,5.758969641
-0.420000017,#8-7_1uM_DSP,#8-7,1uM_DSP,1,5.078196872
-0.140000001,#8-7_1uM_DSP,#8-7,1uM_DSP,1,4.133701319
